,Datadump,SPARQL,voID
bioportal-imr,False,False,False
bioportal-ehdaa,False,False,False
bioportal-ocre,False,False,False
tcga-roadmap,False,False,False
bioportal-ddanat,False,False,False
bioportal-teddy,False,False,False
nextprot,False,False,False
fu-berlin-drugbank,False,False,False
eagle-i-alaska,True,False,False
bioportal-pr,False,False,False
bioportal-cheminf,False,False,False
bioportal-tmo,False,False,False
eagle-i-upr,True,False,False
gene-expression-atlas-rdf,False,False,True
PubChem RDF,False,False,False
HealthCare Ontology,False,False,False
eagle-i-famu,True,False,False
eagle-i-psm,True,False,False
lodac-bdls,False,False,True
bioportal-ma,False,False,False
bioportal-cst,False,False,False
bioportal-cl,False,False,False
bioportal-tads,False,False,False
bioportal-imgt,False,False,False
bioportal-bto,False,False,False
bioportal-icpc,False,False,False
bioportal-ehda,False,False,False
eagle-i-howard,True,False,False
bioportal-exo,False,False,False
bio2rdf-sider,False,False,False
eagle-i-ohsu,True,False,False
bioportal-gro_x2,False,False,False
fu-berlin-stitch,False,False,False
bioportal-ontoorpha,False,False,False
bioportal-mdr,False,False,False
bioportal-rcd,False,False,False
bio2rdf-goa,False,False,False
eagle-i-tuskegee,True,False,False
eagle-i-meharry,True,False,False
taxonconcept-occurences,False,False,False
bio2rdf-bioportal,False,False,False
bioportal-repo,False,False,False
GACS,False,False,False
bio2rdf-irefindex,False,False,False
bioportal-fypo,False,False,False
bioportal-gro_x1,False,False,False
bioportal-spd,False,False,False
bioportal-tto,False,False,False
bioportal-opl,False,False,False
geospecies,True,False,False
